keys,zh_CN,zh_TW,en,ja
E_SLIME,史莱姆,史萊姆,Slime,スライム
E_BINARYTREE,二叉树,二元樹,Binary tree,バイナリツリー
E_CAPACITYCYLINDER,圆柱电容器,圓柱電容器,Cylindrical capacitor,円筒型コンデンサ
E_CAPACITYGREEN,绿色电容器,綠色電容器,Green capacitor,緑色コンデンサ
E_CHIP,芯片,晶片,Chip,チップ
E_FOURIERLEAF,傅里叶,傅立葉,Fourieaf,フーリ葉
E_MAXWHEAT,麦克斯韦,麥克斯韋,Maxwheat,麦スウェル
E_MONOCRYSTURTLE,单晶龟,單晶龜,Monocrysturtle,単結晶亀
E_PERCEPTIONKUN,感知鸡,感知雞,Perception chicken,感知キン
E_PYTHON,蟒蛇,蟒蛇,Python,Python
E_SHANLOONG,香龙,香龍,Shanloong,シャン竜
E_SCHRODINGERCAT,薛定谔猫,薛定謝貓,Schrödinger cat,シュレディンガーの猫
E_XIQIN,鱼骨守护者,魚骨守護者,Fishbone guardian,魚骨の守護者
P_CODER,编码术士,編碼術士,Code warlock,コードウォーロック
P_HARDWARE,硬件战士,硬件戰士,Hardware warrior,ハードウェア戦士
P_SIGNAL,信号法师,信號法師,Signal mage,シグナルメイジ
D_1_1,在那个阳光灿烂的下午，整个实验室沐浴在柔和的阳光中，空气中弥漫着轻微的电子元件的香气。你站在实验台前，手中的「万花尺」实验装置运作得如此完美，仿佛是一台精密的机械，每一次波形的生成都显得轻而易举。你自信满满地高举双手，心中充满了对即将到来的赞誉的期待。,在那個陽光燦爛的下午，整個實驗室沐浴在柔和的陽光中，空氣中瀰漫著輕微的電子元件的香氣。你站在實驗台前，手中的「萬花尺」實驗裝置運作得如此完美，仿佛是一台精密的機械，每一次波形的生成都顯得輕而易舉。你自信滿滿地高舉雙手，心中充滿了對即將到來的讚譽的期待。,"On that sunny afternoon, the entire laboratory was bathed in soft sunlight, and the air was filled with the faint aroma of electronic components. You stood in front of the experimental platform, and the ""Flower Ruler"" experimental device in your hand worked so perfectly that it seemed like a precision machine, and every waveform generation seemed effortless. You raised your hands confidently, full of expectation for the praise that was about to come.",その晴れた午後、実験室全体が柔らかい日差しに包まれ、空気中には電子部品のかすかな香りが漂っていた。あなたは実験台の前に立ち、手に持った「万花尺」実験装置が完璧に動作しているように思え、まるで精密機械のようで、毎回の波形生成が軽々しく見えた。あなたは自信を持って両手を高く掲げ、今にも訪れる賞賛に対する期待に満ちていた。
D_1_2,助教步履轻快地走来，他的眼睛紧盯着你的实验结果，眼神中透露出敬佩。他仔细地比对波形图，每一个细节都与预期完美吻合，没有丝毫的偏差。他赞扬你的精确操作，你的心中涌起一股自豪感。随着助教的一笔签名，你的优异成绩就将铭刻在成绩册上，A+ 在向你招手。,助教步履輕快地走來，他的眼睛緊盯著你的實驗結果，眼神中透露出敬佩。他仔細地比對波形圖，每一個細節都與預期完美吻合，沒有絲毫的偏差。他讚揚你的精確操作，你的心中湧起一股自豪感。隨著助教的一筆簽名，你的優異成績就將銘刻在成績冊上，A+ 在向你招手。,"The teaching assistant walked briskly, his eyes fixed on your experimental results, his eyes showing admiration. He carefully compared the waveform, and every detail matched perfectly with the expected results, without any deviation. He praised your precise operation, and you felt a sense of pride. With a stroke of the teaching assistant's pen, your excellent results will be engraved in the grade book, and an A+ is beckoning to you.",助教は軽快な足取りで歩いてきた。彼の目はあなたの実験結果に注がれ、敬意を示していた。彼は波形を注意深く比較し、すべての詳細が予想通りに完璧に一致し、少しも逸脱がなかった。彼はあなたの正確な操作を称賛し、あなたは誇りを感じた。助教のペンの一筆で、あなたの優れた成績が成績簿に刻まれ、A+ があなたを招いている。
